station_id,station_name,state,grantee_name,search_hint,notes
bethel-broadcasting-inc,"Bethel Broadcasting, Inc.",AK,KYUK-TV,"Bethel Broadcasting, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
ktoo-public-media,KTOO Public Media,AK,KTOO-TV,KTOO Public Media audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
rural-california-broadcasting-corporation,Rural California Broadcasting Corporation,CA,KRCB-TV,Rural California Broadcasting Corporation audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
redwood-empire-public-television-inc,"Redwood Empire Public Television, Inc.",CA,KEET-TV,"Redwood Empire Public Television, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
valley-public-television-inc,"Valley Public Television, Inc.",CA,KVPT-TV,"Valley Public Television, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
public-media-group-of-southern-california,Public Media Group of Southern California,CA,KCET-TV,Public Media Group of Southern California audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
northern-california-educational-television-associa,"Northern California Educational Television Association, Inc.",CA,KIXE-TV,"Northern California Educational Television Association, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
kvie-inc,"KVIE, Inc.",CA,KVIE-TV,"KVIE, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
kqed-inc,KQED Inc.,CA,KQED-TV,KQED Inc. audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
colorado-public-television-inc,"Colorado Public Television, Inc.",CO,KBDI-TV,"Colorado Public Television, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
rocky-mountain-public-broadcasting-network-inc,"Rocky Mountain Public Broadcasting Network, Inc.",CO,KRMA-TV,"Rocky Mountain Public Broadcasting Network, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
connecticut-public-broadcasting-inc,"Connecticut Public Broadcasting, Inc.",CT,Connecticut Network,"Connecticut Public Broadcasting, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
wjct-inc,"WJCT, Inc.",FL,WJCT-TV,"WJCT, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
south-florida-pbs-inc,"South Florida PBS, Inc.",FL,WPBT-TV,"South Florida PBS, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
the-school-board-of-miami-dade-county-florida,"The School Board of Miami-Dade County, Florida",FL,WLRN-TV,"The School Board of Miami-Dade County, Florida audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
florida-west-coast-public-broadcasting-inc,"Florida West Coast Public Broadcasting, Inc.",FL,WEDU-TV,"Florida West Coast Public Broadcasting, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
guam-educational-telecommunications-corporation,Guam Educational Telecommunications Corporation,GU,KGTF-TV,Guam Educational Telecommunications Corporation audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
hawaii-public-television-foundation,Hawaii Public Television Foundation,HI,Hawaii Public Television,Hawaii Public Television Foundation audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
iowa-public-broadcasting-board,Iowa Public Broadcasting Board,IA,Iowa PBS,Iowa Public Broadcasting Board audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
window-to-the-world-communications-inc,"Window to the World Communications, Inc.",IL,WTTW-TV,"Window to the World Communications, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
illinois-valley-public-telecommunications-corporat,Illinois Valley Public Telecommunications Corporation,IL,WTVP-TV,Illinois Valley Public Telecommunications Corporation audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
