station_id,station_name,page_url,notes,enabled
weta,WETA,https://weta.org/about/reports,reports page includes audited financial statements and 990s,1
gbh,GBH,https://www.wgbh.org/foundation/reports-filings,reports and filings page with consolidated financial statements,1
whyy,WHYY,https://whyy.org/financial-statements/,financial statements page with audited statements and filings,1
opb,Oregon Public Broadcasting,https://www.opb.org/financials/,financials and CPB/FCC compliance reports,1
wlrn,WLRN,https://www.wlrn.org/audited-financial-statements,audited financial statements page,1
pbs-wisconsin,PBS Wisconsin,https://pbswisconsin.org/support/financials/,annual reports and audited financial statements,1
idaho-ptv,Idaho Public Television,https://www.idahoptv.org/about/friendsofidptv/,friends page links to annual audits and reports,1
iowa-pbs,Iowa PBS,https://www.iowapbs.org/about/reports,performance reports page; audits also published by Iowa Auditor | URL_UPDATED_2026-03-09,1
wnyc,New York Public Radio (WNYC),https://www.wnyc.org/about/review/,annual review page with latest audited financial statements,1
ktep,KTEP Public Radio,https://www.ktep.org/audited-financial-statements,audited financial statements page with annual PDFs,1
wfit,WFIT Public Radio,https://www.wfit.org/audited-financials,audited financials page,1
krps,KRPS Public Radio,https://www.krps.org/financials,financial page with audited reports and audit report links,1
pbssocal,PBS SoCal,https://www.pbssocal.org/about/financial,open financial records with audited statements and CPB AFR links,1
knkx,KNKX Public Radio,https://www.knkx.org/reports,reports page includes audited financial statements and AFRs,1
wunc,WUNC,https://www.wunc.org/station-policies-financial-documents,station policies and financial docs page with audited statements,1
kpbs,KPBS,https://www.kpbs.org/archive-audited-financial-statements-as-pdfs,archive of audited financial statements in PDF,1
wrkf,WRKF Public Radio,https://www.wrkf.org/about,about page lists audited financial reports and statements,1
wyoming-pm,Wyoming Public Media,https://www.wyomingpublicmedia.org/audited-financial-statements-and-eeo-information,audited financial statements and CPB AFR links,1
krcu,KRCU Public Radio,https://www.krcu.org/krcu-public-radio-public-documents,public docs page includes audited financial statements,1
upr,Utah Public Radio,https://www.upr.org/public-reports,public reports page with financial statements,1
wmky,WMKY,https://www.wmky.org/wmky-financial-statement,financial statement page with annual documents,1
wemu,WEMU,https://www.wemu.org/documents,public documents page including audited financial statements,1
pbs-national,PBS (national),https://www.pbs.org/about/about-pbs/financials,national benchmark financial reports page,1
wtvp,WTVP,https://www.wtvp.org/about/public-files/,public files page with annual audited financial statements and CPB AFR reports,1
lpm,Louisville Public Media,https://www.lpm.org/reports-and-filings,reports and filings page linking independent audit summary and AFR docs,1
kut,KUT,https://www.kut.org/about-old,about page includes audited financial statements and CPB AFR links,1
tpr,Texas Public Radio,https://www.tpr.org/financial-reports,financial reports page with audited statements and AFR docs,1
michigan-public,Michigan Public,https://www.michiganpublic.org/public-documents,public documents page with annual financial statements and AFR links,1
wmuk,WMUK,https://www.wmuk.org/open-records,open records page includes audited statements and CPB AFR reports,1
wdet,WDET,https://wdet.org/publicdocuments/,public documents page with audited statements and AFR links,1
cfpublic,Central Florida Public Media,https://www.cfpublic.org/legal-and-financial-documents,legal and financial docs page with audited statements and AFR links,1
waer,WAER,https://www.waer.org/privacy-policy,policies/compliance page includes audited statement and AFR links,1
kedm,KEDM,https://www.kedm.org/about-kedm,about page references audited statements and AFR availability,1
montana-pbs,MontanaPBS (Friends),https://www.montanapbs.org/friends/publicreportingtransparency/,public reporting policy page for governance and audited statement access,1
cpr,Colorado Public Radio,https://www.cpr.org/about/fcc-public-files/,finances page with audited financial statements and AFR links | URL_UPDATED_2026-03-09,1
kqed,KQED,https://www.kqed.org/about/fcc-public-inspection-files,financial and FCC files page with audited financials and CPB AFR docs,1
alaska-pm,Alaska Public Media,https://alaskapublic.org/about/public-documents,public documents page with audited financials and AFR links,1
wabe,WABE,https://www.wabe.org/annual-reports/,annual reports page with audited financial reports and public inspection docs,1
wamu,WAMU,https://wamu.org/reports,reports page referenced for complete audited financial statements,1
bethel-broadcasting-inc,"Bethel Broadcasting, Inc.",https://bethel.org/about/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Bethel Broadcasting, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=2 | AUTO_DISCOVERY_REJECTED: low-value directory domain | AUTO_DISCOVERY_CANDIDATE score=4 | AUTO_DISCOVERY_CANDIDATE score=11 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | AUTO_DISCOVERY_CANDIDATE score=15 | AUTO_DISCOVERY_REJECTED: non-station or weak-match URL",0
ktoo-public-media,KTOO Public Media,https://www.ktoo.org/reports-and-financial-statements/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: KTOO Public Media audited financial statements public documents | RESOLVED: reports and financial statements page with audited financials, 990, and CPB AFR links",1
rural-california-broadcasting-corporation,Rural California Broadcasting Corporation,https://ruralpublic.org/about/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Rural California Broadcasting Corporation audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=4 | AUTO_DISCOVERY_REJECTED: low-value directory domain | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_CANDIDATE score=9 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | AUTO_DISCOVERY_CANDIDATE score=11",0
redwood-empire-public-television-inc,"Redwood Empire Public Television, Inc.",https://www.keet.org/about/annual-reports/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Redwood Empire Public Television, Inc. audited financial statements public documents | RESOLVED: KEET annual reports page with audited financial statements and CPB reports",1
valley-public-television-inc,"Valley Public Television, Inc.",https://valleypbs.org/reports-and-public-files/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Valley Public Television, Inc. audited financial statements public documD13OVERY_CANDIDATE score=8 | VERIFIED_DISCOVERY: ValleyPBS reports and public files page",1
public-media-group-of-southern-california,Public Media Group of Southern California,https://www.pbssocal.org/about/financial,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Public Media Group of Southern California audited financial statements public documents | RESOLVED: PMGSC/PBS SoCal financial page with audited statements,1
