station_id,station_name,page_url,enabled,error,notes,remove
the-greater-cincinnati-television-educational-foun,The Greater Cincinnati Television Educational Foundation,https://www.cetconnect.org/about/reports/,1,"<urlopen error [Errno 8] nodename nor servname provided, or not known>",UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: The Greater Cincinnati Television Educational Foundation audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED_ALIAS: CET legal entity mapped to WCET public files page,
cheyenne-mountain-public-broadcast-house-inc,"Cheyenne Mountain Public Broadcast House, Inc.",https://www.kcme.org/support/foundation-support/,1,HTTP Error 307: Temporary Redirect,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Cheyenne Mountain Public Broadcast House, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=9 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | VERIFIED_MANUAL: KCME support page links CPB AFR, IRS 990, and audit documents",x
salt-pond-community-broadcasting-co,Salt Pond Community Broadcasting Co.,https://weru.org/about/fcc-irs-cpb/,1,HTTP Error 307: Temporary Redirect,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Salt Pond Community Broadcasting Co. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=9 | AUTO_DISCOVERY_REJECTED: non-station, directory, or article URL | AUTO_DISCOVERY_CANDIDATE score=8 | UNVERIFIED_GUESS: likely station site; confirm financial/public-files page before enabling",
cpr,Colorado Public Radio,https://www.cpr.org/about/finances/,1,HTTP Error 403: Forbidden,finances page with audited financial statements and AFR links,
iowa-pbs,Iowa PBS,https://www.iowapbs.org/about/reports,1,HTTP Error 403: Forbidden,performance reports page; audits also published by Iowa Auditor,
iowa-public-broadcasting-board,Iowa Public Broadcasting Board,https://www.iowapbs.org/about/reports/performance-report,1,HTTP Error 403: Forbidden,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Iowa Public Broadcasting Board audited financial statements public documents | RESOLVED: Iowa PBS reporting page (state network audit-related reporting links),x
channel-5-public-broadcasting-inc,"Channel 5 Public Broadcasting, Inc.",https://www.pbsreno.org/about/reports/,1,HTTP Error 404: Not Found,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Channel 5 Public Broadcasting, Inc. audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED_ALIAS: PBS Reno legal entity mapped to public files page",
detroit-educational-television-foundation,Detroit Educational Television Foundation,https://www.detroitpbs.org/about/resources/reports-policies/,1,HTTP Error 404: Not Found,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Detroit Educational Television Foundation audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED_ALIAS: Detroit PBS legal entity mapped to public files page,
east-tennessee-public-communications-corporation,East Tennessee Public Communications Corporation,https://www.easttennesseepbs.org/about/public-files/,1,HTTP Error 404: Not Found,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: East Tennessee Public Communications Corporation audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED_ALIAS: East Tennessee PBS legal entity mapped to public files page,x
greater-dayton-public-television-inc,"Greater Dayton Public Television, Inc.",https://thinktv.org/about/reports/,1,HTTP Error 404: Not Found,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Greater Dayton Public Television, Inc. audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED_ALIAS: ThinkTV legal entity mapped to public files page",
louisiana-educational-television-authority,Louisiana Educational Television Authority,https://www.lpb.org/about/reports/,1,HTTP Error 404: Not Found,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Louisiana Educational Television Authority audited financial statements public documents | RESOLVED: Louisiana network legal authority; LPB reports page,
louisiana-pb,Louisiana Public Broadcasting,https://www.lpb.org/reports,1,HTTP Error 404: Not Found,reports page with annual reports and financial records guidance,x
maryland-public-broadcasting-commission,Maryland Public Broadcasting Commission,https://www.mpt.org/about/publicinspectionfile/,1,HTTP Error 404: Not Found,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Maryland Public Broadcasting Commission audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED_ALIAS: Maryland Public Television legal entity mapped to financial reports page,
nashville-public-radio,Nashville Public Radio,https://nashvillepublicradio.org/cpb-transparency-report/,1,HTTP Error 404: Not Found,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Nashville Public Radio audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED_ALIAS: WPLN/Nashville Public Radio mapped to financials page,
nashville-public-television-inc,"Nashville Public Television, Inc.",https://www.wnpt.org/about/public-information/,1,HTTP Error 404: Not Found,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Nashville Public Television, Inc. audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED_ALIAS: Nashville PBS legal entity mapped to public files page",
new-hampshire-public-radio-incorporated,"New Hampshire Public Radio, Incorporated",https://www.nhpr.org/financial-employment-activity-information,1,HTTP Error 404: Not Found,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: New Hampshire Public Radio, Incorporated audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED_ALIAS: NHPR legal entity mapped to annual reports/financials page",
public-broadcasting-foundation-of-northwest-ohio,Public Broadcasting Foundation of Northwest Ohio,https://www.wgte.org/about/financial-information,1,HTTP Error 404: Not Found,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Public Broadcasting Foundation of Northwest Ohio audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED_ALIAS: WGTE legal entity mapped to public files page,
public-television-19-inc,"Public Television 19, Inc.",https://www.kansascitypbs.org/about/public-file/,1,HTTP Error 404: Not Found,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Public Television 19, Inc. audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED_ALIAS: Kansas City PBS legal entity mapped to public files page",
south-florida-pbs-inc,"South Florida PBS, Inc.",https://www.southfloridapbs.org/about/reports/,1,HTTP Error 404: Not Found,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: South Florida PBS, Inc. audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED_ALIAS: South Florida PBS legal entity mapped to station public files page",
st-louis-regional-public-media-inc,"St. Louis Regional Public Media, Inc.",https://www.stlpr.org/public-documents,1,HTTP Error 404: Not Found,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: St. Louis Regional Public Media, Inc. audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED_ALIAS: St. Louis Public Radio legal entity mapped to reports/financials page",
twin-cities-public-television-inc,"Twin Cities Public Television, Inc.",https://www.tpt.org/public-filings/,1,HTTP Error 404: Not Found,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Twin Cities Public Television, Inc. audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED_ALIAS: Twin Cities PBS legal entity mapped to TPT financials page",
wnet,WNET,https://www.wnet.org/about/financials/,1,HTTP Error 404: Not Found,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: WNET audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED_ALIAS: WNET/THIRTEEN mapped to about financials page,
wqed-multimedia,WQED Multimedia,https://www.wqed.org/public-documents/,1,HTTP Error 404: Not Found,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: WQED Multimedia audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED_ALIAS: WQED mapped to financials page,
new-hampshire-public-broadcasting,New Hampshire Public Broadcasting,https://nhpbs.org/about/fcc.asp,1,HTTP Error 404: Page Not Found,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: New Hampshire Public Broadcasting audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED_ALIAS: NH PBS legal entity mapped to financial reports page,
capital-of-texas-public-telecommunications-council,Capital of Texas Public Telecommunications Council,https://austinpbs.org/who-we-are/public-reports,1,HTTP Error 500: Internal Server Error,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Capital of Texas Public Telecommunications Council audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=9 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | VERIFIED_MANUAL: Austin PBS public reports page with audited financial statement links",x
